event_id,sport,family,code,display_name_cn,display_name_en,description,level_hint,enabled,source_type,importance_base,tags,trigger_notes,negative_flag,version,notes,Parent items,父记录
,,,,,,,,,,,,,,,,,
,,,,,=== 赛事 Events ===,,,,,,,,,,,,
Events,football,,,赛事,,,,,,,,,,,,,
football.kick_off,football,match_flow,kick_off,开球,Kick Off,Referee starts or restarts the half,meta,,model_direct,0.05,signal,whistle + ball movement,,v3-20260319,,,
football.halftime,football,match_flow,halftime,中场休息,Half Time,Break between first and second half,meta,,model_direct,0.05,signal,referee whistle at ~45+X,,v3-20260319,,,
football.added_time,football,match_flow,added_time,补时,Added Time,Injury/stoppage time announced by 4th official,meta,,model_direct,0.1,signal,4th official board display,,v3-20260319,,,
football.extra_time,football,match_flow,extra_time,加时赛,Extra Time,Additional 30 min period in knockout matches,meta,,model_direct,0.15,signal,knockout match + draw at 90,,v3-20260319,,,
football.penalty_shootout,football,match_flow,penalty_shootout,点球大战,Penalty Shootout,Penalty kicks to decide winner after extra time,meta,,model_direct,0.9,"highlight, clutch",knockout match + draw after ET,,v3-20260319,,,
football.substitution,football,match_flow,substitution,换人,Substitution,Player replacement during match,meta,,model_direct,0.1,signal,4th official board + player swap,,v3-20260319,,,
football.cooling_break,football,match_flow,cooling_break,补水时间,Cooling Break,Hydration break in hot conditions,meta,,model_direct,0.02,signal,referee stops play for hydration,,v3-20260319,,,
,,,,,,,,,,,,,,,,,
,,,,,=== 竞技 Sports ===,,,,,,,,,,,,
Sports,football,,,竞技,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,--- 核心事件 Core Events ---,,,,,,,,,,,,
football.goal,football,scoring,goal,进球,Goal,Ball fully crosses the goal line between posts and under crossbar,core,,model_direct,1,"highlight, scoring, momentum, top10",ball_in_net + referee confirms,,v3-20260319,,,
football.assist,football,scoring,assist,助攻,Assist,Final touch leading to goal scorer receiving the ball,core,,rule_composed,0.85,"highlight, scoring, teamplay",pass/cross → goal within same play,,v3-20260319,,,
football.shoot,football,scoring,shoot,射门,Shot,Deliberate attempt to score a goal,core,,model_direct,0.55,"scoring, attacking",player strikes ball toward goal,,v3-20260319,,,
football.woodwork,football,scoring,woodwork,打门框/柱,Hit Woodwork,Shot strikes post or crossbar without resulting in goal,core,,model_direct,0.88,"highlight, drama, near_miss",ball hits frame of goal,,v3-20260319,,,
football.big_chance,football,scoring,big_chance,大机会,Big Chance,"One-on-one, close range, or clear path to goal situation",core,,rule_composed,0.8,"highlight, drama",1v1 or clear goal path + low xG distance,,v3-20260319,,,
football.save,football,defense,save,扑救,Save,Goalkeeper prevents ball from entering goal,core,,model_direct,0.8,"highlight, defense",GK contact → ball not entering goal,,v3-20260319,,,
football.foul,football,signals,foul,犯规,Foul,Infringement penalised by referee resulting in free kick or penalty,core,,model_direct,0.4,"signal, discipline",referee awards free kick/penalty,,v3-20260319,,,
football.penalty,football,signals,penalty,点球,Penalty,Penalty kick awarded for foul inside penalty area,core,,rule_composed,0.92,"highlight, set_piece, clutch",foul inside box → referee points to spot,,v3-20260319,,,
football.set_piece,football,signals,set_piece,定位球,Set Piece,Dead ball situation from free kick or corner,core,,model_direct,0.35,"signal, tactical",referee awards free kick / corner,,v3-20260319,,,
football.throw_in,football,signals,throw_in,界外球,Throw In,Ball out of play over touchline,core,,model_direct,0.05,signal,ball crosses touchline,,v3-20260319,,,
football.clearance,football,defense,clearance,解围,Clearance,Defensive action to remove ball from dangerous zone,core,,model_direct,0.4,"defense, signal",player clears without target recipient,,v3-20260319,,,
football.goal_kick,football,possession,goal_kick,开大脚,Goal Kick / Long Boot,Goalkeeper or defender boots the ball long upfield to relieve pressure or restart play,core,,model_direct,0.25,"possession, signal",long high-speed ball launched from own defensive zone,,v4-20260707,,,
football.buildup,football,possession,buildup,控球推进,Build-up Play,Team retains possession and advances the ball without a discrete key action,signal,,model_direct,0.2,"possession, filler",rule-side density filler for silent 5s bins — never VLM-classified,,v4-20260707,,,
football.interception,football,defense,interception,拦截,Interception,Player reads opponent pass and intercepts,core,,model_direct,0.45,"defense, possession",player cuts pass line,,v3-20260319,,,
football.tackle,football,defense,tackle,铲球,Tackle,Legal ground challenge to win ball from opponent,core,,model_direct,0.45,"defense, highlight",player connects ball in challenge,,v3-20260319,,,
football.pressing,football,defense,pressing,逼抢,Pressing,High-intensity pressure on ball carrier,core,,model_direct,0.35,"defense, tactical",team presses high up pitch,,v3-20260319,,,
football.dribble,football,possession,dribble,过人,Dribble / Take-on,Attempt to beat opponent while in possession,core,,model_direct,0.5,"possession, highlight",player attempts to beat defender,,v3-20260319,,,
